"a","b","sigma1","Scenario"
0.868750316323655,1.28214011490711,1.00844179171881,"Scenario 1 (a=0.9, b=1, sig=1)"
0.959919714217936,0.459858378028557,0.706573105069078,"Scenario 1 (a=0.9, b=1, sig=1)"
0.840779692424049,1.31323450633131,1.1715844254815,"Scenario 1 (a=0.9, b=1, sig=1)"
0.805763862725282,1.51788898722847,0.891310673168972,"Scenario 1 (a=0.9, b=1, sig=1)"
0.849920481005917,1.62937977263318,1.27283139550644,"Scenario 1 (a=0.9, b=1, sig=1)"
0.785735912437711,1.98789098072058,1.16236089207902,"Scenario 1 (a=0.9, b=1, sig=1)"
0.790909210129294,1.92035763169849,0.987270614546151,"Scenario 1 (a=0.9, b=1, sig=1)"
0.801130920313638,1.99990016085905,1.14384842398184,"Scenario 1 (a=0.9, b=1, sig=1)"
0.885461055640175,1.24824510643027,1.14859585635572,"Scenario 1 (a=0.9, b=1, sig=1)"
0.936565694957825,0.598264189294951,0.936682285243042,"Scenario 1 (a=0.9, b=1, sig=1)"
0.860630060308247,1.40949720485264,0.916732084564923,"Scenario 1 (a=0.9, b=1, sig=1)"
0.878413462208369,1.19063607806035,0.958540749772506,"Scenario 1 (a=0.9, b=1, sig=1)"
0.91513282624656,0.948962311784912,1.0740618201862,"Scenario 1 (a=0.9, b=1, sig=1)"
0.897947404038379,1.01600408406605,1.09957430174152,"Scenario 1 (a=0.9, b=1, sig=1)"
0.906428952358456,0.810230112823998,1.08166825505884,"Scenario 1 (a=0.9, b=1, sig=1)"
0.860551887693373,1.41888666972694,0.977884284818282,"Scenario 1 (a=0.9, b=1, sig=1)"
0.878365153309734,1.18799027781756,1.13834813878852,"Scenario 1 (a=0.9, b=1, sig=1)"
0.87256972815998,1.3143111986062,0.93501144530089,"Scenario 1 (a=0.9, b=1, sig=1)"
0.852896868222923,1.43302516665176,0.723699054264893,"Scenario 1 (a=0.9, b=1, sig=1)"
0.850756595294133,1.21259019826033,1.01555477389816,"Scenario 1 (a=0.9, b=1, sig=1)"
0.850994655599046,1.41300866561942,1.02723914026212,"Scenario 1 (a=0.9, b=1, sig=1)"
0.921107394022959,0.824913098057631,0.987539105794781,"Scenario 1 (a=0.9, b=1, sig=1)"
0.837714644221299,1.76292293136468,0.991793788718667,"Scenario 1 (a=0.9, b=1, sig=1)"
0.635563715331683,3.57904703468545,1.1658408140159,"Scenario 1 (a=0.9, b=1, sig=1)"
0.896108241297654,1.1149959300831,0.96498964832411,"Scenario 1 (a=0.9, b=1, sig=1)"
0.876246883836955,1.23906390663747,1.29360357670076,"Scenario 1 (a=0.9, b=1, sig=1)"
0.908416331025368,0.920070729573702,1.11575053993325,"Scenario 1 (a=0.9, b=1, sig=1)"
0.900895613957185,1.05826451052145,0.979362392621956,"Scenario 1 (a=0.9, b=1, sig=1)"
0.719061117665467,2.59953942997109,1.10059517835925,"Scenario 1 (a=0.9, b=1, sig=1)"
0.708515748899027,2.88062516646332,1.18801456712781,"Scenario 1 (a=0.9, b=1, sig=1)"
0.953856727192748,0.547982207707917,0.630015720415535,"Scenario 1 (a=0.9, b=1, sig=1)"
0.91051896590584,0.807881619690389,1.08224685810451,"Scenario 1 (a=0.9, b=1, sig=1)"
0.822412949562929,1.84383606160227,1.01531375016871,"Scenario 1 (a=0.9, b=1, sig=1)"
0.888450114762847,1.22050252537375,0.736035528863533,"Scenario 1 (a=0.9, b=1, sig=1)"
0.859530334533511,1.36269670449752,1.15297333679145,"Scenario 1 (a=0.9, b=1, sig=1)"
0.928158331933013,0.713998083407489,0.958423222527937,"Scenario 1 (a=0.9, b=1, sig=1)"
0.83630076308373,1.38018951316831,1.06461772775644,"Scenario 1 (a=0.9, b=1, sig=1)"
0.886467267951756,1.20669183644105,0.937332226286215,"Scenario 1 (a=0.9, b=1, sig=1)"
0.792547128409632,1.76432544119204,0.752130934195864,"Scenario 1 (a=0.9, b=1, sig=1)"
0.836546956232877,1.36788918812908,1.07874641606103,"Scenario 1 (a=0.9, b=1, sig=1)"
0.882981802895078,1.37435668676209,0.985845837625537,"Scenario 1 (a=0.9, b=1, sig=1)"
0.875663665670066,1.24461559577337,0.959314441772221,"Scenario 1 (a=0.9, b=1, sig=1)"
0.863179290551986,1.49648938446874,1.29406085299431,"Scenario 1 (a=0.9, b=1, sig=1)"
0.825328719464832,1.75101308642066,1.27683335811526,"Scenario 1 (a=0.9, b=1, sig=1)"
0.897572047192445,1.04071133027341,1.13374824843515,"Scenario 1 (a=0.9, b=1, sig=1)"
0.872560792395652,1.32120683070936,1.13369107845231,"Scenario 1 (a=0.9, b=1, sig=1)"
0.875590811851297,1.43430514105814,0.900357937475828,"Scenario 1 (a=0.9, b=1, sig=1)"
0.910545492439195,0.807180497355871,1.03128001946887,"Scenario 1 (a=0.9, b=1, sig=1)"
0.921734880767381,0.741970720696197,0.801910516606508,"Scenario 1 (a=0.9, b=1, sig=1)"
0.880018068975523,1.25411280899451,1.36130130597437,"Scenario 1 (a=0.9, b=1, sig=1)"
0.832878295795742,1.50467999529581,1.17581990425413,"Scenario 1 (a=0.9, b=1, sig=1)"
0.869065975073311,1.34005342121158,1.06711387254315,"Scenario 1 (a=0.9, b=1, sig=1)"
0.851854287494248,1.34316487088563,1.04337561873322,"Scenario 1 (a=0.9, b=1, sig=1)"
0.883895329662363,1.04564286608781,0.705886979139334,"Scenario 1 (a=0.9, b=1, sig=1)"
0.931730440487502,0.767976689279316,0.686125275675195,"Scenario 1 (a=0.9, b=1, sig=1)"
0.900881227871047,0.947253787967289,0.973292024766653,"Scenario 1 (a=0.9, b=1, sig=1)"
0.937963193582061,0.685213713365993,1.04536321130166,"Scenario 1 (a=0.9, b=1, sig=1)"
0.812681380810745,1.79685562549972,1.25026664712244,"Scenario 1 (a=0.9, b=1, sig=1)"
0.912735951023443,0.756481096000071,0.850836020787369,"Scenario 1 (a=0.9, b=1, sig=1)"
0.817179955739553,1.8913427271293,1.19996942819229,"Scenario 1 (a=0.9, b=1, sig=1)"
0.76446545759934,2.01665823000056,1.02734086763665,"Scenario 1 (a=0.9, b=1, sig=1)"
0.958126648114689,0.475963276566862,0.00956254397221486,"Scenario 1 (a=0.9, b=1, sig=1)"
0.787273137150246,2.29265532913368,1.08333502408466,"Scenario 1 (a=0.9, b=1, sig=1)"
0.914606568217197,0.759640706920596,1.09597158810075,"Scenario 1 (a=0.9, b=1, sig=1)"
0.847450736329805,1.80920774291083,1.1050169584621,"Scenario 1 (a=0.9, b=1, sig=1)"
0.784367350271266,1.81660150912615,0.948040751467434,"Scenario 1 (a=0.9, b=1, sig=1)"
0.752673168038433,2.41972251023955,1.03874379435522,"Scenario 1 (a=0.9, b=1, sig=1)"
0.79033351468242,1.92568528735925,0.970587463390179,"Scenario 1 (a=0.9, b=1, sig=1)"
0.639110864824102,3.74766960253581,0.949767824638805,"Scenario 1 (a=0.9, b=1, sig=1)"
0.858751915987151,1.29639684767473,1.11127350307682,"Scenario 1 (a=0.9, b=1, sig=1)"
0.86583407683429,1.14680578932154,0.953691938187209,"Scenario 1 (a=0.9, b=1, sig=1)"
0.89689825613121,1.02178214137651,1.1251890715769,"Scenario 1 (a=0.9, b=1, sig=1)"
0.821836883318348,1.66775340298242,0.944794747916838,"Scenario 1 (a=0.9, b=1, sig=1)"
0.903512492963648,0.919502233871765,0.905035038585938,"Scenario 1 (a=0.9, b=1, sig=1)"
0.905781918724076,1.13169042105491,1.03683518794729,"Scenario 1 (a=0.9, b=1, sig=1)"
