"Time","True_State","Observation","Predicted_State_Mean","Predicted_State_Var","CI_Lower_95","CI_Upper_95","Filtered_State_Mean","Filtered_State_Var","Innovation","Innovation_Var"
1,4.93530182860391,5.29843023994125,5.5,9.1,-0.412576426567355,11.4125764265674,5.31838764192727,0.900990099009901,-0.201569760058749,10.1
2,6.07463425070456,6.47890257384556,5.78654887773454,1.72980198019802,3.20871892074965,8.36437883471943,6.22527476452703,0.63367306227558,0.692353696111022,2.72980198019802
3,6.36104630954262,7.87256830698156,6.60274728807432,1.51327518044322,4.19164838234883,9.01384619379982,7.3673227895833,0.602112809698917,1.26982101890724,2.51327518044322
4,6.63028264017526,8.6487063540523,7.63059051062497,1.48771137585612,5.23994373171996,10.02123728953,8.23944832946456,0.598024107738037,1.01811584342733,2.48771137585612
5,6.90454027710532,8.2094099313288,8.41550349651811,1.48439952726781,6.02751915319589,10.8034878398403,8.29236501279911,0.597488250571462,-0.206093565189306,2.48439952726781
6,9.50073164209589,8.11187094098355,8.4631285115192,1.48396548296288,6.0754933217655,10.8507637012729,8.25328094564943,0.597417916287953,-0.351257570535649,2.48396548296288
7,9.27186971106893,9.13854837467527,8.42795285108448,1.48390851219324,6.04036349350191,10.8155422086671,8.85246878675867,0.597408682690563,0.710595523590788,2.48390851219324
8,9.98063313803211,9.69638021661604,8.9672219080828,1.48390103297936,6.57963856748639,11.3548052486792,9.40282652874683,0.597407470457656,0.729158308533238,2.48390103297936
9,7.32611440332412,4.88564747474861,9.46254387587214,1.4839000510707,7.07496132521694,11.8501264265273,6.7282725027366,0.597407311309107,-4.57689640112354,2.4839000510707
10,8.9136163087219,8.60697771464343,7.05544525246294,1.48389992216038,4.66786280551555,9.44302769941034,7.98234205668542,0.597407290415208,1.55153246218049,2.48389992216038
11,7.24094624386971,7.06902888811009,8.18410785101688,1.48389990523632,5.79652541768482,10.5716902843489,7.51795155224647,0.597407287672142,-1.11507896290679,2.48389990523632
12,8.73152631865534,10.6267197799203,7.76615639702183,1.48389990301443,5.37857396547726,10.1537388285664,9.47507780778329,0.597407287312017,2.86056338289848,2.48389990301443
13,8.42790455518361,8.17063517241468,9.52757002700496,1.48389990272273,7.13998759569507,11.9151524583149,8.71692725652921,0.597407287264737,-1.35693485459029,2.48389990272273
14,6.82195101447047,7.28204836930174,8.84523453087629,1.48389990268444,6.45765209959721,11.2328169621554,7.91137572660996,0.59740728725853,-1.56318616157455,2.48389990268444
15,6.4997610370633,6.95521116030452,8.12023815394897,1.48389990267941,5.73265572267393,10.507820585224,7.42424253809383,0.597407287257716,-1.16502699364445,2.48389990267941
16,7.55462227058579,8.58972579255571,7.68181828428444,1.48389990267875,5.29423585300994,10.069400715559,8.2242088458816,0.597407287257608,0.907907508271268,2.48389990267875
17,7.19023366812,7.69518879141797,8.40178796129344,1.48389990267866,6.014205530019,10.7893703925679,7.97966046803967,0.597407287257594,-0.706599169875469,2.48389990267866
18,5.75420162223466,4.96974261385516,8.1816944212357,1.48389990267865,5.79411198996127,10.5692768525101,6.26285100518637,0.597407287257593,-3.21195180738054,2.48389990267865
19,5.32787386583467,2.91366621588804,6.63656590466773,1.48389990267865,4.24898347339331,9.02414833594216,4.41247850086172,0.597407287257592,-3.72289968877969,2.48389990267865
20,5.83120908614346,6.03720768634372,4.97123065077555,1.48389990267865,2.58364821950112,7.35881308204998,5.60805309987322,0.597407287257593,1.06597703556817,2.48389990267865
21,5.88703087898045,6.64519411467997,6.0472477898859,1.48389990267865,3.65966535861147,8.43483022116032,6.40446528170677,0.597407287257593,0.597946324794069,2.48389990267865
22,5.57162296400583,4.20334191958653,6.76401875353609,1.48389990267865,4.37643632226167,9.15160118481052,5.23425175262293,0.597407287257593,-2.56067683394956,2.48389990267865
23,6.44727869349396,5.63588551730729,5.71082657736064,1.48389990267865,3.32324414608621,8.09840900863506,5.66605624196996,0.597407287257593,-0.0749410600533436,2.48389990267865
24,8.24665208586582,7.81520588325247,6.09945061777296,1.48389990267865,3.71186818649854,8.48703304904739,7.12445531652101,0.597407287257593,1.71575526547951,2.48389990267865
25,9.07763476068144,9.39956002588539,7.41200978486891,1.48389990267865,5.02442735359448,9.79959221614333,8.59938678264274,0.597407287257593,1.98755024101648,2.48389990267865
26,8.38603234373292,9.9617598635249,8.73944810437846,1.48389990267865,6.35186567310404,11.1270305356529,9.46966605659319,0.597407287257593,1.22231175914644,2.48389990267865
27,9.19032841507695,9.28008906167656,9.52269945093387,1.48389990267865,7.13511701965945,11.9102818822083,9.37776223642715,0.597407287257593,-0.242610389257317,2.48389990267865
28,9.54784632086072,10.227135136916,9.43998601278444,1.48389990267865,7.05240358151001,11.8275684440589,9.91023463569906,0.597407287257593,0.787149124131552,2.48389990267865
29,9.68289457535373,6.68980449220079,9.91921117212915,1.48389990267865,7.53162874085472,12.3067936034036,7.9899400880216,0.597407287257593,-3.22940667992836,2.48389990267865
30,9.99948807134902,9.63225342860804,8.19094607921944,1.48389990267865,5.80336364794502,10.5785285104939,9.05199359292212,0.597407287257593,1.4413073493886,2.48389990267865
31,10.1847698290797,10.7665935564452,9.1467942336299,1.48389990267865,6.75921180235548,11.5343766649043,10.1144741529747,0.597407287257593,1.61979932281533,2.48389990267865
32,11.5660296734644,10.83873761399,10.1030267376772,1.48389990267865,7.7154443064028,12.4906091689517,10.5425457765011,0.597407287257593,0.735710876312742,2.48389990267865
33,12.7119693381621,13.0478174579142,10.488291198851,1.48389990267865,8.10070876757659,12.8758736301254,12.0173708379425,0.597407287257593,2.5595262590632,2.48389990267865
34,13.4792785030435,14.4000070713342,11.8156337541483,1.48389990267865,9.42805132287385,14.2032161854227,13.3595572068292,0.597407287257593,2.58437331718591,2.48389990267865
35,13.852228815606,12.8091098770382,13.0236014861463,1.48389990267865,10.6360190548719,15.4111839174207,12.8954626358095,0.597407287257593,-0.2144916091081,2.48389990267865
36,13.3768195474347,14.0003377094343,12.6059163722286,1.48389990267865,10.2183339409541,14.993498803503,13.4389538405827,0.597407287257593,1.39442133720572,2.48389990267865
37,12.0856142349189,11.5427854203451,13.0950584565245,1.48389990267865,10.70747602525,15.4826408877989,12.1677192328974,0.597407287257593,-1.5522730361794,2.48389990267865
38,12.4580493091087,13.2262280469433,11.9509473096077,1.48389990267865,9.56336487833325,14.3385297408821,12.7128093153912,0.597407287257593,1.27528073733562,2.48389990267865
39,12.676011966738,11.7902356693283,12.4415283838521,1.48389990267865,10.0539459525777,14.8291108151265,12.0524413700578,0.597407287257593,-0.651292714523768,2.48389990267865
40,11.3086298714164,12.8213368812213,11.847197233052,1.48389990267865,9.45961480177761,14.2347796643265,12.4291553576749,0.597407287257593,0.974139648169242,2.48389990267865
41,11.4356883218067,11.5241285509663,12.1862398219074,1.48389990267865,9.79865739063297,14.5738222531818,11.7906897236718,0.597407287257593,-0.662111270941066,2.48389990267865
42,11.171222952087,9.97689405692646,11.6116207513046,1.48389990267865,9.22403832003021,13.9992031825791,10.6350231114086,0.597407287257593,-1.63472669437818,2.48389990267865
43,11.6660975549187,11.4489577091722,10.5715208002677,1.48389990267865,8.18393836899331,12.9591032315422,11.095708003756,0.597407287257593,0.877436908904413,2.48389990267865
44,11.3167310930949,12.250077421666,10.9861372033804,1.48389990267865,8.59855477210598,13.3737196346548,11.7412243004422,0.597407287257593,1.26394021828563,2.48389990267865
45,12.0068310942936,13.3989474702279,11.567101870398,1.48389990267865,9.17951943912355,13.9546843016724,12.6614597808671,0.597407287257593,1.83184559982993,2.48389990267865
46,11.3299740618096,11.9803226225359,12.3953138027804,1.48389990267865,10.007731371506,14.7828962340548,12.1473950475547,0.597407287257593,-0.414991180244513,2.48389990267865
47,12.5880871120186,11.4772982325707,11.9326555427992,1.48389990267865,9.54507311152482,14.3202379740737,11.6606217673627,0.597407287257593,-0.455357310228504,2.48389990267865
48,11.4684858139389,10.3367471330852,11.4945595906265,1.48389990267865,9.10697715935203,13.8821420219009,10.8028739912137,0.597407287257593,-1.15781245754128,2.48389990267865
49,9.86242323304265,9.94240578628381,10.7225865920923,1.48389990267865,8.33500416081787,13.1101690233667,10.2565008933238,0.597407287257593,-0.78018080580849,2.48389990267865
50,10.5293852493876,11.7303506249861,10.2308508039914,1.48389990267865,7.843268372717,12.6184332352659,11.1266629242951,0.597407287257593,1.49949982099464,2.48389990267865
51,11.5211978116165,10.5179891647767,11.0139966318656,1.48389990267865,8.62641420059115,13.40157906314,10.7176781564925,0.597407287257593,-0.49600746708888,2.48389990267865
