"a","b","sigma1","nu"
0.806689133837578,1.52279575985075,1.37659675529566,"nu = 100"
0.884319397955207,0.955627569591279,1.27452165619934,"nu = 100"
0.883693101602448,1.18078137792644,1.01742074071536,"nu = 100"
0.849720718377049,1.27505174866493,1.12814550045712,"nu = 100"
0.916102594013157,0.807360173744454,1.02131478422517,"nu = 100"
0.837345074471303,1.8264407135857,0.908978674787011,"nu = 100"
0.735144484993891,2.57717590169764,0.997943442749094,"nu = 100"
0.809813687790849,1.85276046969558,1.00233759880349,"nu = 100"
0.939746648864051,0.408117449651563,0.906712852186949,"nu = 100"
0.833986082417684,1.5903816160896,1.05048243150065,"nu = 100"
0.840955143818744,1.64393943026826,1.33996036345027,"nu = 100"
0.835021233874792,1.82294187249171,0.900771763276472,"nu = 100"
0.877049878549044,1.08147361652128,1.05468412843858,"nu = 100"
0.858645529266647,1.42664440342311,1.04369370946724,"nu = 100"
0.872351686464341,1.51221094694966,0.891580042767491,"nu = 100"
0.879245709557631,1.34576444139593,0.876552978719974,"nu = 100"
0.934497092261431,0.6401211048676,0.847811721737476,"nu = 100"
0.849701299735654,1.81158466242521,0.922693896133413,"nu = 100"
0.900818405321284,0.999526293753263,0.94310893629577,"nu = 100"
0.927678726135771,0.683121300206384,0.929095180862683,"nu = 100"
0.688016057020167,2.94037642886327,1.09526910696771,"nu = 100"
0.838417059702552,1.33508330575553,1.22152995651368,"nu = 100"
0.926686250412314,0.71653466703409,0.936795829290533,"nu = 100"
0.652966007559769,2.83291130362481,1.21786434730274,"nu = 100"
0.827494668369434,1.67043580549035,1.17406795280227,"nu = 100"
0.809676933634346,2.17980286416947,1.00648853405753,"nu = 100"
0.842982031599876,1.45603200247362,1.06377820602492,"nu = 100"
0.838952975016345,1.6432546775793,1.08941642821795,"nu = 100"
-0.949665576301034,17.7476359565539,0.001,"nu = 100"
0.901393693279862,1.00969336638823,0.471887507163157,"nu = 100"
0.848013652823515,1.63791668646939,0.83422287949716,"nu = 100"
0.825079031278659,1.77686124844612,1.10558094438421,"nu = 100"
0.878687278252812,1.22158455073654,1.07835310911157,"nu = 100"
0.815074154160381,1.97450131282555,1.00865477303661,"nu = 100"
0.832429226469603,1.82079140482802,1.00079782630825,"nu = 100"
0.823332560361266,1.59995178008297,1.09716285146844,"nu = 100"
0.892004584505542,1.02143790646582,0.778895477198385,"nu = 100"
0.881872337922734,1.31408191471825,1.03316875555496,"nu = 100"
0.862396161263893,1.23021753374234,0.936433379308578,"nu = 100"
0.870195806735279,1.14276994157639,0.950780353279649,"nu = 100"
0.835462880700223,1.49179522936749,1.05184640664349,"nu = 100"
0.803828732292705,1.97235682380621,1.08444829554618,"nu = 100"
0.845149982533472,1.3456667672606,0.920301803584621,"nu = 100"
0.757425509012679,2.19157506596432,1.05841181610849,"nu = 100"
0.87585613544732,1.13674262113465,0.802068754922831,"nu = 100"
0.965793429882664,0.465017158022337,0.867644691641695,"nu = 100"
0.878015766586836,1.3230290241456,1.23524698762986,"nu = 100"
0.804764244513908,2.02383729158824,1.1334464780975,"nu = 100"
0.89936786699852,1.03969349328056,1.1249230818999,"nu = 100"
0.843301323728368,1.83154954852264,1.03321631907812,"nu = 100"
